Zeit,Nachtlader,Schnelllader
890,0.0008020376199245,0.0058984688575073
895,0.0008020376199245,0.0058984688575073
900,0.0008020376199245,0.0058984688575073
905,0.0010930498119488,0.0056540397619781
910,0.0010930498119488,0.0056540397619781
915,0.0010930498119488,0.0056540397619781
920,0.0014787829642932,0.0053687884876079
925,0.0014787829642932,0.0053687884876079
930,0.0014787829642932,0.0053687884876079
935,0.0019589864924068,0.0053487133831985
940,0.0019589864924068,0.0053487133831985
945,0.0019589864924068,0.0053487133831985
950,0.0025339945090242,0.0044380260107836
955,0.0025339945090242,0.0044380260107836
960,0.0025339945090242,0.0044380260107836
965,0.0031833426091381,0.0044927075713298
970,0.0031833426091381,0.0044927075713298
975,0.0031833426091381,0.0044927075713298
980,0.0039543077447248,0.0047241172476813
985,0.0039543077447248,0.0047241172476813
990,0.0039543077447248,0.0047241172476813
995,0.0047929307091116,0.0048739665626037
1000,0.0047929307091116,0.0048739665626037
1005,0.0047929307091116,0.0048739665626037
1010,0.005746488454275,0.0052821883510132
1015,0.005746488454275,0.0052821883510132
1020,0.005746488454275,0.0052821883510132
1025,0.0067067284541347,0.0050174321623163
1030,0.0067067284541347,0.0050174321623163
1035,0.0067067284541347,0.0050174321623163
1040,0.0077008808965781,0.0051400666913447
1045,0.0077008808965781,0.0051400666913447
1050,0.0077008808965781,0.0051400666913447
1055,0.0087557583285743,0.0050655620151473
1060,0.0087557583285743,0.0050655620151473
1065,0.0087557583285743,0.0050655620151473
1070,0.0098040370340578,0.0052086076335962
1075,0.0098040370340578,0.0052086076335962
1080,0.0098040370340578,0.0052086076335962
1085,0.0106899369504211,0.0050254118063284
1090,0.0106899369504211,0.0050254118063284
1095,0.0106899369504211,0.0050254118063284
1100,0.011555623046328,0.0051616537283038
1105,0.011555623046328,0.0051616537283038
1110,0.011555623046328,0.0051616537283038
1115,0.0124144598311711,0.0054135584903286
1120,0.0124144598311711,0.0054135584903286
1125,0.0124144598311711,0.0054135584903286
1130,0.0131178506661414,0.0062296660821367
1135,0.0131178506661414,0.0062296660821367
1140,0.0131178506661414,0.0062296660821367
1145,0.0134968180356059,0.0063387772144709
1150,0.0134968180356059,0.0063387772144709
1155,0.0134968180356059,0.0063387772144709
1160,0.0136661296639736,0.0066041213769371
1165,0.0136661296639736,0.0066041213769371
1170,0.0136661296639736,0.0066041213769371
1175,0.013781398557485,0.0069036520142763
1180,0.013781398557485,0.0069036520142763
1185,0.013781398557485,0.0069036520142763
1190,0.0138897346117489,0.0071826035696895
1195,0.0138897346117489,0.0071826035696895
1200,0.0138897346117489,0.0071826035696895
1205,0.0139644923361638,0.0069858003494748
1210,0.0139644923361638,0.0069858003494748
1215,0.0139644923361638,0.0069858003494748
1220,0.0137620200188657,0.0065578394416668
1225,0.0137620200188657,0.0065578394416668
1230,0.0137620200188657,0.0065578394416668
1235,0.0133160630460707,0.0063133263498848
1240,0.0133160630460707,0.0063133263498848
1245,0.0133160630460707,0.0063133263498848
1250,0.0127146601234029,0.0036623206165526
1255,0.0127146601234029,0.0036623206165526
1260,0.0127146601234029,0.0036623206165526
1265,0.0121336380775587,0.0035129752791468
1270,0.0121336380775587,0.0035129752791468
1275,0.0121336380775587,0.0035129752791468
1280,0.0114713431089708,0.0032618264833969
1285,0.0114713431089708,0.0032618264833969
1290,0.0114713431089708,0.0032618264833969
1295,0.01070772845355,0.0031057614457703
1300,0.01070772845355,0.0031057614457703
1305,0.01070772845355,0.0031057614457703
1310,0.0098967533179691,0.0017871042737041
1315,0.0098967533179691,0.0017871042737041
1320,0.0098967533179691,0.0017871042737041
1325,0.0090993097481483,0.0017330106869272
1330,0.0090993097481483,0.0017330106869272
1335,0.0090993097481483,0.0017330106869272
1340,0.0083424608756075,0.0016789171001503
1345,0.0083424608756075,0.0016789171001503
1350,0.0083424608756075,0.0016789171001503
1355,0.0075450173057867,0.0017608134465905
1360,0.0075450173057867,0.0017608134465905
1365,0.0075450173057867,0.0017608134465905
1370,0.0067678710846059,0.0012580958738268
1375,0.0067678710846059,0.0012580958738268
1380,0.0067678710846059,0.0012580958738268
1385,0.0060109386838814,0.0012108059835234
1390,0.0060109386838814,0.0012108059835234
1395,0.0060109386838814,0.0012108059835234
1400,0.0052134951140606,0.0011158902179055
1405,0.0052134951140606,0.0011158902179055
1410,0.0052134951140606,0.0011158902179055
1415,0.0044431146757598,0.0010074510555935
1420,0.0044431146757598,0.0010074510555935
1425,0.0044431146757598,0.0010074510555935
1430,0.003645671105939,0.0006270320268472
1435,0.003645671105939,0.0006270320268472
1440,0.003645671105939,0.0006270320268472
